Year,Country,Company,Developer_Type,Experience_Level,Avg_Salary_USD,Requirement_Rate,AI_Impact_Level,Automation_Risk,Remote_Work_Percentage,Job_Satisfaction,Work_Hours_Per_Week
2024,UK,Google,Backend Developer,Junior,102160,62,Moderate Impact,Medium,57,8,49
2024,India,IBM,Backend Developer,Senior,25617,81,Moderate Impact,High,86,8,46
2023,USA,IBM,Backend Developer,Mid,146796,73,Moderate Impact,Medium,53,7,50
2022,USA,Amazon,Frontend Developer,Mid,158869,84,Moderate Impact,Medium,66,6,46
2023,USA,Accenture,AI Engineer,Mid,189189,77,High Demand,Low,87,7,38
2023,India,OpenAI,Backend Developer,Mid,22580,79,Moderate Impact,High,89,7,50
2023,UK,Microsoft,Frontend Developer,Senior,89092,56,Moderate Impact,High,66,7,40
2022,UK,Accenture,Backend Developer,Mid,63231,79,Moderate Impact,High,68,8,43
2024,Australia,Accenture,Backend Developer,Senior,131415,67,Moderate Impact,High,58,6,47
2022,USA,Accenture,Backend Developer,Senior,151193,85,Moderate Impact,High,66,6,36
2025,USA,NVIDIA,Full Stack Developer,Senior,183093,59,Moderate Impact,High,89,9,47
2024,Germany,NVIDIA,Mobile Developer,Mid,83856,77,Moderate Impact,Medium,85,6,42
2022,Germany,Infosys,ML Engineer,Junior,134669,100,High Demand,Low,84,8,38
2023,USA,Accenture,Mobile Developer,Mid,103077,71,Moderate Impact,Medium,86,10,35
2023,Australia,Infosys,Mobile Developer,Mid,108499,60,Moderate Impact,High,50,9,35
2022,USA,Infosys,Full Stack Developer,Senior,127472,67,Moderate Impact,High,63,8,36
2023,UK,NVIDIA,Full Stack Developer,Senior,72094,62,Moderate Impact,Medium,76,6,36
2025,UK,Meta,Full Stack Developer,Junior,106391,80,Moderate Impact,Medium,57,7,39
2024,UK,NVIDIA,Frontend Developer,Junior,67673,65,Moderate Impact,Medium,51,10,37
2024,India,Infosys,Data Scientist,Junior,37284,91,High Demand,Low,84,8,35
2025,UK,NVIDIA,ML Engineer,Senior,120653,94,High Demand,Low,65,6,39
2024,USA,Microsoft,Frontend Developer,Mid,147084,84,Moderate Impact,High,56,9,36
2022,India,Accenture,ML Engineer,Mid,42040,100,High Demand,Low,60,9,41
2024,Australia,Amazon,Data Scientist,Mid,155382,74,High Demand,Low,90,6,40
2023,Australia,Google,Data Analyst,Junior,115633,81,Growing Demand,Medium,61,6,45
2025,Canada,Wipro,Data Analyst,Mid,80839,100,Growing Demand,Medium,80,8,43
2022,India,Microsoft,Backend Developer,Junior,39598,82,Moderate Impact,High,77,7,48
2023,UK,Infosys,ML Engineer,Junior,123341,89,High Demand,Low,85,6,44
2025,Canada,Amazon,ML Engineer,Senior,147893,80,High Demand,Low,62,9,49
2023,USA,Google,Backend Developer,Senior,152152,71,Moderate Impact,Medium,71,6,45
2022,Germany,TCS,Mobile Developer,Senior,92290,58,Moderate Impact,Medium,88,10,38
2025,Canada,TCS,Frontend Developer,Junior,90771,64,Moderate Impact,Medium,90,10,39
2024,Australia,OpenAI,Mobile Developer,Junior,116086,64,Moderate Impact,High,61,7,44
2022,India,NVIDIA,Full Stack Developer,Senior,16538,73,Moderate Impact,High,63,10,50
2023,India,IBM,ML Engineer,Senior,53631,100,High Demand,Low,86,6,50
2022,USA,Meta,Data Scientist,Senior,139130,100,High Demand,Low,51,10,45
2025,USA,Meta,Backend Developer,Mid,159276,82,Moderate Impact,High,52,6,48
2024,USA,Infosys,Data Scientist,Junior,154981,100,High Demand,Low,63,7,36
2024,Australia,Wipro,Data Analyst,Mid,107048,81,Growing Demand,Medium,59,10,38
2022,India,Microsoft,Mobile Developer,Senior,37324,85,Moderate Impact,Medium,81,9,37
2023,Australia,TCS,Data Scientist,Junior,127543,96,High Demand,Low,88,6,50
2024,Australia,Google,Backend Developer,Mid,107983,72,Moderate Impact,Medium,84,10,41
2022,USA,TCS,AI Engineer,Mid,129657,91,High Demand,Low,90,7,37
2022,Australia,Microsoft,ML Engineer,Mid,108383,100,High Demand,Low,54,8,36
